epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8811,1.89856,2.68518,1.28978,1,0.06832,0.31525,0.18925,1.31903,2.6419,1.04471,0.000465256,0.000465256,0.000465256
2,146.659,1.45356,1.38992,1.04624,0.73895,0.3039,0.3755,0.23908,1.24927,1.67107,1.04801,0.000910517,0.000910517,0.000910517
3,212.989,1.39578,1.21006,1.01805,0.7891,0.34983,0.44954,0.27532,1.26405,1.37283,1.0578,0.00132434,0.00132434,0.00132434
4,282.407,1.36557,1.13049,1.01552,0.59368,0.51495,0.54623,0.33578,1.20505,1.06727,1.04075,0.00128753,0.00128753,0.00128753
5,359.634,1.33754,1.0673,1.00212,0.64283,0.5099,0.54496,0.34563,1.20006,1.0083,1.03921,0.00124037,0.00124037,0.00124037
6,432.372,1.29354,0.99753,0.99525,0.58638,0.52093,0.54597,0.35041,1.11421,0.90446,0.9942,0.00119322,0.00119322,0.00119322
7,505.658,1.26302,0.94495,0.97318,0.61112,0.58678,0.60966,0.39624,1.12239,0.87779,1.01402,0.00114606,0.00114606,0.00114606
8,582.28,1.24209,0.90188,0.97723,0.80877,0.55877,0.6613,0.42698,1.13534,0.84796,1.01835,0.0010989,0.0010989,0.0010989
9,655.671,1.21307,0.86584,0.96066,0.68933,0.55352,0.59226,0.40132,1.09701,0.83811,0.9787,0.00105174,0.00105174,0.00105174
10,729.091,1.2032,0.85378,0.9659,0.81942,0.60505,0.6681,0.44296,1.03551,0.79379,0.97343,0.00100459,0.00100459,0.00100459
11,803.283,1.20455,0.84817,0.96264,0.78922,0.59684,0.65072,0.41768,1.08161,0.76371,0.98316,0.00095743,0.00095743,0.00095743
12,878.786,1.20648,0.8091,0.95889,0.72918,0.54255,0.61948,0.40416,1.10368,0.75089,0.9876,0.000910273,0.000910273,0.000910273
13,953.673,1.15202,0.77126,0.95369,0.75843,0.60236,0.66452,0.43987,1.05593,0.71366,0.99303,0.000863116,0.000863116,0.000863116
14,1027.11,1.17304,0.79522,0.95389,0.74134,0.54739,0.63451,0.41527,1.08383,0.74868,0.98791,0.000815959,0.000815959,0.000815959
15,1103.02,1.1662,0.76103,0.94389,0.73053,0.66617,0.70116,0.47067,1.0703,0.68869,0.98442,0.000768802,0.000768802,0.000768802
16,1177.71,1.14351,0.73771,0.94323,0.80712,0.62631,0.68565,0.46875,1.03333,0.65915,0.97142,0.000721645,0.000721645,0.000721645
17,1252.04,1.1499,0.73181,0.94483,0.9008,0.58766,0.69348,0.46519,1.03809,0.66841,0.96696,0.000674488,0.000674488,0.000674488
18,1324.83,1.10889,0.70811,0.9318,0.85588,0.59619,0.69495,0.46891,1.04572,0.66773,0.97463,0.000627331,0.000627331,0.000627331
19,1400.13,1.10038,0.7106,0.93584,0.77951,0.61826,0.69288,0.47094,1.03508,0.63576,0.98119,0.000580174,0.000580174,0.000580174
20,1477.93,1.11376,0.6935,0.93197,0.78,0.64313,0.69062,0.4724,1.02906,0.61996,0.97419,0.000533017,0.000533017,0.000533017
21,1552.18,1.06234,0.67655,0.91997,0.70254,0.6694,0.69843,0.48043,1.01106,0.64639,0.95898,0.00048586,0.00048586,0.00048586
22,1623.49,1.05101,0.65697,0.92188,0.68297,0.70154,0.69415,0.47433,1.02684,0.63015,0.96752,0.000438703,0.000438703,0.000438703
23,1694.67,1.05073,0.62938,0.91692,0.79269,0.62337,0.72762,0.48687,1.03302,0.6093,0.97593,0.000391546,0.000391546,0.000391546
24,1764.38,1.04007,0.61866,0.9144,0.77548,0.6626,0.72846,0.49851,1.0072,0.59755,0.96211,0.000344389,0.000344389,0.000344389
25,1831.61,1.01211,0.5958,0.90417,0.79796,0.65633,0.71255,0.48616,1.01545,0.6112,0.96343,0.000297232,0.000297232,0.000297232
26,1897.9,1.00643,0.59455,0.89733,0.83866,0.65242,0.73254,0.50377,1.00633,0.57645,0.96462,0.000250075,0.000250075,0.000250075
27,1963.94,1.00609,0.58486,0.90103,0.80086,0.6631,0.72267,0.50063,1.00459,0.58655,0.96653,0.000202918,0.000202918,0.000202918
28,2030.64,1.00229,0.57954,0.90658,0.86025,0.68698,0.74696,0.51614,0.99239,0.56772,0.96297,0.000155761,0.000155761,0.000155761
29,2097.23,0.99165,0.57273,0.8959,0.81407,0.69633,0.75503,0.51599,0.99986,0.5724,0.96413,0.000108604,0.000108604,0.000108604
30,2164.65,0.98109,0.55548,0.89391,0.8737,0.66716,0.74605,0.51954,0.97841,0.56686,0.95895,6.1447e-05,6.1447e-05,6.1447e-05
